"","evacuation","age","consult_info","evac_orders","expected_hh_impacts","gender","signif_evac_orders","education","multiple_concerns","risk_area","social_cues","unnecessary_evac_exp"
"359","yes",67,2,"mandatory",2.25,"female",1,18,3,"no",2,3
"360","no",67,2.2,"mandatory",1,"male",1,16,1,"yes",1,1
"361","yes",74,2.83,"mandatory",2,"female",5,18,1.4,"no",2,2
"362","yes",47,2.17,"mandatory",3.75,"male",4,12,4.8,"no",1.5,3
"363","no",66,2.17,"mandatory",2.25,"male",2,21,1.4,"no",1.5,2
"364","yes",45,4,"mandatory",2.5,"female",2,18,1.8,"yes",1,4
"365","yes",50,3.17,"mandatory",2.5,"female",5,16,3,"no",2,1
"366","yes",70,2,"mandatory",5,"female",3,12,4.8,"yes",2,1
"367","not applicable",78,1.8,"mandatory",1.25,"male",3,16,3.8,"no",2,3
"368","no",68,4.2,"mandatory",2.75,"female",4,18,2.25,"no",3,1
"369","no",33,3.83,"mandatory",2.5,"male",5,18,3,"no",4.5,1
"370","no",67,2.67,"mandatory",1.25,"male",5,16,4.4,"no",4,4
"371","no",67,3.17,"mandatory",1.5,"male",5,18,3.4,"no",5,2
"372","not applicable",89,2,"mandatory",2.5,"female",5,18,1.4,"yes",2,2
"373","no",55,1.8,"mandatory",2,"male",4,16,2.6,"no",3,5
"374","no",53,2,"mandatory",2,"female",2,12,1.8,"no",1,1
"375","yes",80,2.17,"mandatory",2,"male",2,16,1,"no",1,5
"376","yes",71,4,"mandatory",3,"male",5,16,1,"no",5,1
"377","not applicable",NA,NA,"mandatory",NA,NA,NA,NA,NA,"no",NA,NA
"378","yes",51,3.83,"mandatory",2.75,"female",4,10,4.4,"no",5,3
"379","no",72,3.17,"mandatory",2.25,"male",1,16,1.8,"no",1,1
"380","yes",64,2.5,"mandatory",2.5,"male",3,21,2.2,"no",1.5,2
"381","yes",70,3.17,"mandatory",2.5,"female",5,16,2.8,"no",5,2
"382","yes",75,2.67,"mandatory",4,"male",4,NA,3.6,"no",4,4
"383","no",70,4.67,"mandatory",4.25,"female",1,16,1.8,"no",2,3
"384","no",NA,4.33,"mandatory",1.25,"male",1,12,1.8,"no",1,2
"385","no",71,2.33,"mandatory",1.25,"female",1,18,4.4,"no",1,3
"386","no",52,3.17,"mandatory",1.25,"female",4,18,3.2,"no",2,5
"387","no",62,3.67,"mandatory",1,"male",3,18,2,"no",2.5,5
"388","yes",70,2,"mandatory",1.67,"male",1,12,4.2,"yes",2,1
"389","yes",67,2.67,"mandatory",2,"female",5,16,3.4,"no",1,4
"390","no",31,2.8,"mandatory",1.5,"female",5,12,3.8,"yes",4,3
"391","yes",70,3.67,"mandatory",4.25,"female",5,12,3.6,"yes",4,5
"392","yes",80,4,"mandatory",NA,"male",NA,18,5,"yes",NA,NA
"393","yes",53,5,"mandatory",3,"female",5,16,3.4,"yes",3.5,5
"394","yes",68,1.67,"mandatory",5,"female",5,21,5,"yes",5,5
"395","yes",51,3,"mandatory",2,"male",4,18,2.2,"yes",3,2
"396","yes",75,1.83,"mandatory",3,"female",5,NA,4.8,"yes",4,3
"397","yes",60,3.33,"mandatory",1.75,"male",5,18,1.4,"yes",2,4
"398","yes",54,3.5,"mandatory",4,"female",5,12,5,"yes",5,5
"399","yes",79,3,"mandatory",2.75,"female",5,16,5,"yes",4,3
